personName,W,minutes
Jaden Ivey,2,64.33095238095238
Jaden McDaniels,4,111.93408084914184
Jaden Springer,4,26.416028154851684
Jae Crowder,18,422.83680250418126
Jae'Sean Tate,6,132.89199013504665
Jahlil Okafor,7,104.69642512077294
Jahmi'us Ramsey,2,9.509999999999998
Jaime Jaquez Jr.,2,59.434649122807016
Jake LaRavia,4,73.6049494949495
Jake Layman,9,98.14706614920324
Jakob Poeltl,11,236.57653460210918
Jalen Brunson,6,159.92349341588488
Jalen Duren,2,57.237259615384616
Jalen Green,3,97.14313685636856
Jalen Harris,1,4.477777777777778
Jalen Johnson,3,52.59068783068783
Jalen McDaniels,6,107.111365935263
Jalen Smith,9,157.3727934726953
Jalen Suggs,3,75.57163275193798
Jalen Williams,3,95.15677871148459
Jalen Wilson,1,16.247619047619047
Jamaal Magloire,2,18.44510582010582
Jamaal Tinsley,2,32.585470085470085
Jamal Cain,2,22.087142857142858
Jamal Crawford,12,292.8770316659306
Jamal Murray,7,217.51001549518006
Jamario Moon,2,34.90833333333333
Jameer Nelson,11,279.9160021746951
Jamel Artis,1,22.516666666666666
James Anderson,10,116.85696489487609
James Ennis III,18,295.56945670219864
James Harden,18,639.8367275165053
James Johnson,21,381.43778487627804
James Jones,11,112.97361702211225
James Michael McAdoo,4,31.134882768603696
James White,2,13.446469907407407
James Wiseman,5,79.0074074074074
Jamil Wilson,1,18.894444444444442
Jan Vesely,4,62.07647451963241
Jared Butler,3,39.88485663082437
Jared Cunningham,5,25.5051523297491
Jared Dudley,17,372.75388749357677
Jared Jeffries,6,99.32261363636364
Jared Sullinger,10,202.20929515745692
Jarell Martin,4,54.96782608695652
Jaren Jackson Jr.,11,306.97076453308597
Jarnell Stokes,2,5.295833333333333
Jaron Blossomgame,1,15.75
Jarred Vanderbilt,9,144.83256742805523
Jarrett Allen,8,228.7691809084635
Jarrett Culver,6,102.16430555555556
Jarrett Jack,9,222.6612101929788
Jason Collins,8,85.05610119047618
Jason Kapono,2,14.205185185185185
Jason Kidd,3,86.7610764676241
Jason Maxiell,5,94.29504817078346
Jason Richardson,6,184.7542109279609
Jason Smith,16,264.31869761525024
Jason Terry,8,182.1533647849175
Jason Thompson,10,226.05313404590578
Javon Freeman-Liberty,1,7.666666666666667
Javonte Green,8,140.3695707070707
Javonte Smart,3,10.988888888888887
Jawad Williams,1,14.383333333333333
Jawun Evans,3,24.10486111111111
Jaxson Hayes,9,139.21407459172954
Jay Scrubb,3,12.329166666666667
Jaylen Adams,2,16.546153846153846
Jaylen Brown,16,484.22596562303863
Jaylen Hoard,3,69.36547619047619
Jaylen Nowell,5,87.42931372549019
Jaylin Williams,2,33.16951992753623
Jayson Tatum,10,340.2290903826659
Jeenathan Williams,1,13.4
Jeff Adrien,6,82.69928266178266
Jeff Ayres,5,40.72422397047397
Jeff Foster,4,57.551587301587304
Jeff Green,22,578.2223828814713
Jeff Teague,13,352.11985777439304
Jeff Withey,7,54.554348869177296
Jeffery Taylor,6,112.10383597883597
Jemerrio Jones,1,22.805555555555557
Jerami Grant,11,292.08134740259743
Jeremiah Robinson-Earl,5,86.31465034965035
Jeremy Evans,11,105.21159247550695
Jeremy Lamb,13,240.2463452613014
Jeremy Lin,9,215.7883592411539
Jeremy Pargo,3,43.31155555555556
