personName,teamName,season_year,position,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Danilo Gallinari,Nuggets,2011-12,F,31.421705426356585,4.488372093023256,10.837209302325581,41.41630901287554,1.3953488372093024,4.255813953488372,32.786885245901644,4.232558139534884,4.8604651162790695,87.08133971291868,0.6511627906976745,4.046511627906977,4.6976744186046515,2.697674418604651,0.9767441860465116,0.5348837209302325,1.5813953488372092,2.0,14.604651162790697,5.069767441860465
Danilo Gallinari,Nuggets,2012-13,F,32.515727699530515,5.126760563380282,12.267605633802816,41.791044776119406,1.9014084507042253,5.098591549295775,37.292817679558006,4.028169014084507,4.901408450704225,82.18390804597702,0.9154929577464789,4.253521126760563,5.169014084507042,2.4788732394366195,0.9014084507042254,0.5070422535211268,1.5633802816901408,1.8309859154929577,16.183098591549296,4.704225352112676
Danilo Gallinari,Nuggets,2014-15,F,24.05263157894737,3.8596491228070176,9.56140350877193,40.36697247706422,1.7894736842105263,5.0701754385964914,35.29411764705882,2.912280701754386,3.245614035087719,89.72972972972974,0.5087719298245614,3.192982456140351,3.7017543859649122,1.4210526315789473,0.7543859649122807,0.3508771929824561,0.9649122807017544,1.5964912280701755,12.421052631578947,0.6140350877192983
Danilo Gallinari,Nuggets,2014-15,G,27.433333333333334,4.0,11.5,34.78260869565217,2.5,6.0,41.66666666666667,2.5,3.0,83.33333333333334,1.0,2.5,3.5,1.0,2.0,0.0,1.0,1.5,13.0,-8.5
Danilo Gallinari,Nuggets,2015-16,F,34.69213836477987,5.415094339622642,13.20754716981132,41.0,1.6415094339622642,4.509433962264151,36.40167364016737,7.0754716981132075,8.150943396226415,86.80555555555556,0.9811320754716981,4.320754716981132,5.30188679245283,2.547169811320755,0.7924528301886793,0.3584905660377358,1.4528301886792452,1.6415094339622642,19.547169811320753,-1.9056603773584906
Danilo Gallinari,Nuggets,2016-17,F,33.87328042328043,5.317460317460317,11.904761904761905,44.666666666666664,2.0,5.142857142857143,38.888888888888886,5.5396825396825395,6.142857142857143,90.18087855297156,0.6190476190476191,4.5396825396825395,5.158730158730159,2.142857142857143,0.6349206349206349,0.23809523809523808,1.3015873015873016,1.4761904761904763,18.174603174603174,2.5238095238095237
Danilo Gallinari,Pistons,2023-24,F,14.919444444444444,2.0,3.6666666666666665,54.545454545454554,1.1666666666666667,2.0,58.333333333333336,3.5,4.0,87.5,0.3333333333333333,2.0,2.3333333333333335,2.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.5,8.666666666666666,4.333333333333333
Danilo Gallinari,Thunder,2019-20,F,29.57956989247312,5.774193548387097,13.17741935483871,43.81884944920441,2.870967741935484,7.080645161290323,40.546697038724375,4.290322580645161,4.806451612903226,89.26174496644295,0.5483870967741935,4.645161290322581,5.193548387096774,1.9193548387096775,0.6774193548387096,0.08064516129032258,1.2258064516129032,1.2096774193548387,18.70967741935484,3.725806451612903
Danilo Gallinari,Wizards,2023-24,F,14.80897435897436,2.1923076923076925,5.038461538461538,43.511450381679396,0.7692307692307693,2.4615384615384617,31.25,1.8076923076923077,2.1538461538461537,83.92857142857143,0.46153846153846156,2.4615384615384617,2.923076923076923,1.1923076923076923,0.23076923076923078,0.11538461538461539,0.46153846153846156,1.0,6.961538461538462,-2.9615384615384617
Danny Granger,Clippers,2013-14,F,16.17638888888889,3.0,7.0,42.857142857142854,1.0,2.8333333333333335,35.29411764705882,1.0,1.1666666666666667,85.71428571428571,0.5833333333333334,1.75,2.3333333333333335,0.6666666666666666,0.25,0.3333333333333333,0.8333333333333334,1.75,8.0,-1.75
Danny Granger,Heat,2014-15,F,20.425,2.1666666666666665,5.4,40.12345679012345,1.0,2.8,35.714285714285715,0.9333333333333333,1.2333333333333334,75.67567567567566,0.6666666666666666,2.0,2.6666666666666665,0.5666666666666667,0.43333333333333335,0.2,0.8,2.2333333333333334,6.266666666666667,-3.533333333333333
Danny Granger,Pacers,2010-11,F,34.97489451476793,6.772151898734177,15.949367088607595,42.46031746031746,1.9873417721518987,5.151898734177215,38.57493857493857,5.0,5.89873417721519,84.76394849785407,1.1012658227848102,4.2784810126582276,5.379746835443038,2.569620253164557,1.1265822784810127,0.7848101265822784,2.607594936708861,2.6962025316455698,20.531645569620252,-0.22784810126582278
Danny Granger,Pacers,2011-12,F,33.26048387096775,6.306451612903226,15.17741935483871,41.55154091392136,1.9838709677419355,5.209677419354839,38.080495356037154,4.096774193548387,4.693548387096774,87.2852233676976,1.2741935483870968,3.6774193548387095,4.951612903225806,1.7580645161290323,1.0,0.6451612903225806,1.7741935483870968,2.3225806451612905,18.693548387096776,4.758064516129032
