personName,teamName,season_year,position,mean_minutes_played,total_minutes_played
Alfonzo McKinnie,Warriors,2018-19,F,13.521212121212121,446.2
Alfonzo McKinnie,Warriors,2018-19,G,14.286324786324785,557.1666666666666
Alize Johnson,Bulls,2021-22,F,7.534375,120.55
Alize Johnson,Nets,2020-21,F,10.483333333333333,188.7
Alize Johnson,Pacers,2018-19,F,4.602380952380953,64.43333333333334
Alize Johnson,Pacers,2019-20,F,6.924509803921569,117.71666666666667
Alize Johnson,Pelicans,2021-22,F,7.1125,28.45
Alize Johnson,Spurs,2022-23,F,7.379166666666667,29.51666666666667
Alize Johnson,Wizards,2021-22,F,6.077777777777778,18.233333333333334
Allen Crabbe,Hawks,2019-20,G,18.638690476190476,521.8833333333333
Allen Crabbe,Nets,2017-18,F,28.597435897435897,371.76666666666665
Allen Crabbe,Nets,2017-18,G,29.442741935483873,1825.45
Allen Crabbe,Nets,2018-19,F,28.106666666666666,140.53333333333333
Allen Crabbe,Nets,2018-19,G,26.12061403508772,992.5833333333334
Allen Crabbe,Timberwolves,2019-20,G,14.57037037037037,131.13333333333333
Allen Crabbe,Trail Blazers,2013-14,F,5.34,26.7
Allen Crabbe,Trail Blazers,2013-14,G,7.3083333333333345,73.08333333333334
Allen Crabbe,Trail Blazers,2014-15,F,14.4179012345679,389.2833333333333
Allen Crabbe,Trail Blazers,2014-15,G,12.238194444444446,293.7166666666667
Allen Crabbe,Trail Blazers,2015-16,F,26.126436781609193,757.6666666666666
Allen Crabbe,Trail Blazers,2015-16,G,25.91025641025641,1347.3333333333333
Allen Crabbe,Trail Blazers,2016-17,F,28.68888888888889,946.7333333333333
Allen Crabbe,Trail Blazers,2016-17,G,28.421376811594204,1307.3833333333334
Allonzo Trier,Knicks,2018-19,F,21.383333333333333,727.0333333333333
Allonzo Trier,Knicks,2018-19,G,24.38555555555556,731.5666666666667
Allonzo Trier,Knicks,2019-20,F,11.95,179.25
Allonzo Trier,Knicks,2019-20,G,12.387037037037038,111.48333333333333
Alonzo Gee,Cavaliers,2010-11,F,24.33125,973.25
Alonzo Gee,Cavaliers,2011-12,F,28.723976608187133,1637.2666666666667
Alonzo Gee,Cavaliers,2011-12,G,31.630555555555556,189.78333333333333
Alonzo Gee,Cavaliers,2012-13,F,30.997942386831276,2510.8333333333335
Alonzo Gee,Cavaliers,2012-13,G,29.733333333333334,29.733333333333334
Alonzo Gee,Cavaliers,2013-14,F,15.689230769230768,1019.8
Alonzo Gee,Nuggets,2014-15,F,13.097008547008548,510.78333333333336
Alonzo Gee,Nuggets,2016-17,F,6.876923076923077,89.4
Alonzo Gee,Pelicans,2015-16,F,21.9046568627451,1489.5166666666667
Alonzo Gee,Pelicans,2015-16,G,28.513333333333332,142.56666666666666
Alonzo Gee,Spurs,2010-11,F,3.5100000000000002,17.55
Alonzo Gee,Trail Blazers,2014-15,F,10.045555555555556,150.68333333333334
Alonzo Gee,Wizards,2010-11,F,11.507575757575758,126.58333333333333
Alperen Sengun,Rockets,2021-22,C,20.68472222222222,1489.3
Alperen Sengun,Rockets,2022-23,C,28.942,2170.65
Alperen Sengun,Rockets,2023-24,C,32.471957671957675,2045.7333333333333
Amar'e Stoudemire,Heat,2015-16,C,14.659935897435897,762.3166666666666
Amar'e Stoudemire,Knicks,2010-11,C,38.284408602150535,1186.8166666666666
Amar'e Stoudemire,Knicks,2010-11,F,35.81312056737589,1683.2166666666667
Amar'e Stoudemire,Knicks,2011-12,C,31.777777777777775,95.33333333333333
Amar'e Stoudemire,Knicks,2011-12,F,32.906439393939394,1447.8833333333334
Amar'e Stoudemire,Knicks,2012-13,C,23.29259259259259,209.63333333333333
Amar'e Stoudemire,Knicks,2012-13,F,23.615000000000002,472.3
Amar'e Stoudemire,Knicks,2013-14,C,20.983333333333334,209.83333333333334
Amar'e Stoudemire,Knicks,2013-14,F,22.8430303030303,1256.3666666666666
Amar'e Stoudemire,Knicks,2014-15,C,25.598717948717947,332.7833333333333
Amar'e Stoudemire,Knicks,2014-15,F,23.13333333333333,532.0666666666666
Amar'e Stoudemire,Mavericks,2014-15,C,16.502898550724638,379.56666666666666
Amen Thompson,Rockets,2023-24,F,21.261347517730496,999.2833333333333
Amen Thompson,Rockets,2023-24,G,25.952222222222225,389.28333333333336
Amir Coffey,Clippers,2019-20,F,12.5,75.0
Amir Coffey,Clippers,2019-20,G,6.998611111111111,83.98333333333333
Amir Coffey,Clippers,2020-21,F,10.74705882352941,182.7
Amir Coffey,Clippers,2020-21,G,7.845679012345678,211.83333333333331
Amir Coffey,Clippers,2021-22,F,20.086363636363636,441.9
Amir Coffey,Clippers,2021-22,G,23.947163120567375,1125.5166666666667
Amir Coffey,Clippers,2022-23,F,17.144927536231883,394.3333333333333
Amir Coffey,Clippers,2022-23,G,8.554320987654322,230.96666666666667
Amir Coffey,Clippers,2023-24,F,22.30735294117647,758.45
Amir Coffey,Clippers,2023-24,G,19.503703703703703,702.1333333333333
Amir Johnson,76ers,2017-18,C,15.81509009009009,1170.3166666666666
Amir Johnson,76ers,2018-19,C,10.375816993464051,529.1666666666666
Amir Johnson,Celtics,2015-16,C,22.483333333333334,44.96666666666667
Amir Johnson,Celtics,2015-16,F,22.795670995670996,1755.2666666666667
Amir Johnson,Celtics,2016-17,C,20.753333333333334,103.76666666666667
Amir Johnson,Celtics,2016-17,F,20.05666666666667,1504.25
Amir Johnson,Raptors,2010-11,C,27.400000000000002,82.2
Amir Johnson,Raptors,2010-11,F,25.658937198067633,1770.4666666666667
Amir Johnson,Raptors,2011-12,C,24.52777777777778,662.25
Amir Johnson,Raptors,2011-12,F,24.07207207207207,890.6666666666666
Amir Johnson,Raptors,2012-13,C,29.902380952380952,418.6333333333333
Amir Johnson,Raptors,2012-13,F,28.450497512437813,1906.1833333333334
Amir Johnson,Raptors,2013-14,F,28.7525974025974,2213.95
Amir Johnson,Raptors,2014-15,C,15.833333333333334,15.833333333333334
Amir Johnson,Raptors,2014-15,F,26.526126126126126,1962.9333333333334
Anderson Varejao,Cavaliers,2010-11,C,32.06182795698925,993.9166666666666
Anderson Varejao,Cavaliers,2011-12,C,31.384666666666668,784.6166666666667
Anderson Varejao,Cavaliers,2012-13,C,36.036,900.9
Anderson Varejao,Cavaliers,2013-14,C,27.696923076923078,1800.3
Anderson Varejao,Cavaliers,2014-15,C,24.446153846153848,635.6
Anderson Varejao,Cavaliers,2015-16,C,9.995698924731183,309.8666666666667
Anderson Varejao,Cavaliers,2020-21,C,7.186666666666667,35.93333333333334
Anderson Varejao,Warriors,2015-16,C,8.44469696969697,185.78333333333333
Anderson Varejao,Warriors,2016-17,C,6.560714285714285,91.85
Andray Blatche,Nets,2012-13,C,19.063541666666666,1525.0833333333333
Andray Blatche,Nets,2012-13,F,15.05,30.1
Andray Blatche,Nets,2013-14,C,21.98282051282051,1428.8833333333332
Andray Blatche,Nets,2013-14,F,23.65625,189.25
Andray Blatche,Wizards,2010-11,C,34.91666666666667,139.66666666666669
Andray Blatche,Wizards,2010-11,F,33.87111111111111,2032.2666666666667
Andray Blatche,Wizards,2011-12,C,14.033333333333333,14.033333333333333
Andray Blatche,Wizards,2011-12,F,24.48,612.0
Andre Drummond,76ers,2021-22,C,18.408843537414967,902.0333333333333
Andre Drummond,Bulls,2022-23,C,12.67363184079602,849.1333333333333
Andre Drummond,Bulls,2023-24,C,17.104852320675104,1351.2833333333333
Andre Drummond,Cavaliers,2019-20,C,28.06875,224.55
Andre Drummond,Cavaliers,2020-21,C,28.872,721.8
Andre Drummond,Lakers,2020-21,C,24.7515873015873,519.7833333333333
Andre Drummond,Nets,2021-22,C,22.28125,534.75
Andre Drummond,Pistons,2012-13,C,20.711944444444445,1242.7166666666667
